Precio Interno ,Fecha
322.625,19-abr-04
317.000,20-abr-04
309.750,21-abr-04
312.000,22-abr-04
313.750,23-abr-04
313.750,24-abr-04
313.750,25-abr-04
313.000,26-abr-04
316.875,27-abr-04
316.125,28-abr-04
324.500,29-abr-04
321.625,30-abr-04
321.625,01-may-04
321.625,02-may-04
326.375,03-may-04
339.250,04-may-04
334.750,05-may-04
333.875,06-may-04
330.750,07-may-04
330.750,08-may-04
330.750,09-may-04
337.875,10-may-04
339.250,11-may-04
328.875,12-may-04
333.250,13-may-04
329.750,14-may-04
329.750,15-may-04
329.750,16-may-04
316.875,17-may-04
331.625,18-may-04
335.750,19-may-04
334.625,20-may-04
339.000,21-may-04
339.000,22-may-04
339.000,23-may-04
355.000,24-may-04
363.375,25-may-04
376.750,26-may-04
369.375,27-may-04
408.625,28-may-04
408.625,29-may-04
408.625,30-may-04
408.625,31-may-04
398.875,01-jun-04
402.250,02-jun-04
410.500,03-jun-04
408.750,04-jun-04
408.750,05-jun-04
408.750,06-jun-04
395.500,07-jun-04
398.625,08-jun-04
406.375,09-jun-04
411.625,10-jun-04
411.625,11-jun-04
411.625,12-jun-04
411.625,13-jun-04
393.125,14-jun-04
386.120,15-jun-04
382.000,16-jun-04
368.625,17-jun-04
369.870,18-jun-04
369.870,19-jun-04
369.870,20-jun-04
357.500,21-jun-04
354.875,22-jun-04
356.625,23-jun-04
351.875,24-jun-04
337.375,25-jun-04
337.375,26-jun-04
337.375,27-jun-04
340.875,28-jun-04
340.375,29-jun-04
343.625,30-jun-04
340.375,01-jul-04
332.000,02-jul-04
332.000,03-jul-04
332.000,04-jul-04
332.000,05-jul-04
322.250,06-jul-04
325.000,07-jul-04
318.375,08-jul-04
321.750,09-jul-04
321.750,10-jul-04
321.750,11-jul-04
321.500,12-jul-04
320.125,13-jul-04
318.750,14-jul-04
324.250,15-jul-04
321.000,16-jul-04
321.000,17-jul-04
321.000,18-jul-04
321.625,19-jul-04
326.625,20-jul-04
322.500,21-jul-04
321.500,22-jul-04
313.250,23-jul-04
313.250,24-jul-04
313.250,25-jul-04
307.250,26-jul-04
312.875,27-jul-04
311.750,28-jul-04
